SimStep,Vol,Pseudo,L,R,RL,P,pP
7.66,1,1,0,1.982661882,0.017338118,7.618093098,0.381906902
7.67,1,1,0,1.982835263,0.017164737,7.621625302,0.378374698
7.68,1,1,0,1.983006911,0.016993089,7.625127151,0.374872849
7.69,1,1,0,1.983176841,0.016823159,7.628598868,0.371401132
7.7,1,1,0,1.983345073,0.016654927,7.632040675,0.367959325
7.71,1,1,0,1.983511622,0.016488378,7.63545279,0.36454721
7.72,1,1,0,1.983676506,0.016323494,7.638835432,0.361164568
7.73,1,1,0,1.983839741,0.016160259,7.64218882,0.35781118
7.74,1,1,0,1.984001344,0.015998656,7.645513171,0.354486829
7.75,1,1,0,1.98416133,0.01583867,7.648808699,0.351191301
7.76,1,1,0,1.984319717,0.015680283,7.652075621,0.347924379
7.77,1,1,0,1.98447652,0.01552348,7.655314149,0.344685851
7.78,1,1,0,1.984631754,0.015368246,7.658524498,0.341475502
7.79,1,1,0,1.984785437,0.015214563,7.661706878,0.338293122
7.8,1,1,0,1.984937583,0.015062417,7.6648615,0.3351385
7.81,1,1,0,1.985088207,0.014911793,7.667988575,0.332011425
7.82,1,1,0,1.985237325,0.014762675,7.67108831,0.32891169
7.83,1,1,0,1.985384951,0.014615049,7.674160913,0.325839087
7.84,1,1,0,1.985531102,0.014468898,7.677206592,0.322793408
7.85,1,1,0,1.985675791,0.014324209,7.680225551,0.319774449
7.86,1,1,0,1.985819033,0.014180967,7.683217995,0.316782005
7.87,1,1,0,1.985960843,0.014039157,7.686184127,0.313815873
7.88,1,1,0,1.986101234,0.013898766,7.689124151,0.310875849
7.89,1,1,0,1.986240222,0.013759778,7.692038266,0.307961734
7.9,1,1,0,1.98637782,0.01362218,7.694926674,0.305073326
7.91,1,1,0,1.986514041,0.013485959,7.697789573,0.302210427
7.92,1,1,0,1.986648901,0.013351099,7.700627161,0.299372839
7.93,1,1,0,1.986782412,0.013217588,7.703439636,0.296560364
7.94,1,1,0,1.986914588,0.013085412,7.706227194,0.293772806
7.95,1,1,0,1.987045442,0.012954558,7.708990029,0.291009972
7.96,1,1,0,1.987174988,0.012825012,7.711728334,0.288271666
7.97,1,1,0,1.987303238,0.012696762,7.714442304,0.285557697
7.98,1,1,0,1.987430205,0.012569795,7.717132128,0.282867872
7.99,1,1,0,1.987555903,0.012444097,7.719797998,0.280202002
8,1,1,0,1.987680344,0.012319656,7.722440104,0.277559897
8.01,1,1,0,1.987803541,0.012196459,7.725058632,0.274941368
8.02,1,1,0,1.987925505,0.012074495,7.727653772,0.272346229
8.03,1,1,0,1.98804625,0.01195375,7.730225708,0.269774292
8.04,1,1,0,1.988165788,0.011834212,7.732774625,0.267225375
8.05,1,1,0,1.98828413,0.01171587,7.735300709,0.264699291
8.06,1,1,0,1.988401289,0.011598711,7.737804141,0.262195859
8.07,1,1,0,1.988517276,0.011482724,7.740285103,0.259714897
8.08,1,1,0,1.988632103,0.011367897,7.742743777,0.257256223
8.09,1,1,0,1.988745782,0.011254218,7.745180341,0.254819659
8.1,1,1,0,1.988858324,0.011141676,7.747594974,0.252405026
8.11,1,1,0,1.988969741,0.011030259,7.749987853,0.250012147
8.12,1,1,0,1.989080044,0.010919956,7.752359155,0.247640845
8.13,1,1,0,1.989189243,0.010810757,7.754709055,0.245290945
8.14,1,1,0,1.989297351,0.010702649,7.757037727,0.242962273
8.15,1,1,0,1.989404377,0.010595623,7.759345344,0.240654656
8.16,1,1,0,1.989510333,0.010489667,7.761632078,0.238367923
8.17,1,1,0,1.98961523,0.01038477,7.763898099,0.236101901
8.18,1,1,0,1.989719078,0.010280922,7.766143579,0.233856422
8.19,1,1,0,1.989821887,0.010178113,7.768368684,0.231631316
8.2,1,1,0,1.989923668,0.010076332,7.770573584,0.229426417
8.21,1,1,0,1.990024431,0.009975569,7.772758443,0.227241557
8.22,1,1,0,1.990124187,0.009875813,7.774923429,0.225076571
8.23,1,1,0,1.990222945,0.009777055,7.777068705,0.222931295
8.24,1,1,0,1.990320716,0.009679284,7.779194434,0.220805566
8.25,1,1,0,1.990417509,0.009582491,7.781300779,0.218699221
8.26,1,1,0,1.990513334,0.009486666,7.783387901,0.216612099
8.27,1,1,0,1.9906082,0.0093918,7.785455959,0.214544041
8.28,1,1,0,1.990702118,0.009297882,7.787505114,0.212494886
8.29,1,1,0,1.990795097,0.009204903,7.789535523,0.210464478
8.3,1,1,0,1.990887146,0.009112854,7.791547342,0.208452658
8.31,1,1,0,1.990978275,0.009021725,7.793540728,0.206459273
8.32,1,1,0,1.991068492,0.008931508,7.795515835,0.204484165
8.33,1,1,0,1.991157807,0.008842193,7.797472817,0.202527183
8.34,1,1,0,1.991246229,0.008753771,7.799411827,0.200588173
8.35,1,1,0,1.991333767,0.008666233,7.801333016,0.198666984
8.36,1,1,0,1.991420429,0.008579571,7.803236535,0.196763465
8.37,1,1,0,1.991506225,0.008493775,7.805122534,0.194877466
8.38,1,1,0,1.991591162,0.008408838,7.80699116,0.19300884
8.39,1,1,0,1.991675251,0.008324749,7.808842562,0.191157438
8.4,1,1,0,1.991758498,0.008241502,7.810676886,0.189323114
8.41,1,1,0,1.991840913,0.008159087,7.812494277,0.187505723
8.42,1,1,0,1.991922504,0.008077496,7.81429488,0.185705121
8.43,1,1,0,1.992003279,0.007996721,7.816078837,0.183921163
8.44,1,1,0,1.992083246,0.007916754,7.817846292,0.182153708
8.45,1,1,0,1.992162414,0.007837586,7.819597385,0.180402615
8.46,1,1,0,1.99224079,0.00775921,7.821332258,0.178667742
8.47,1,1,0,1.992318382,0.007681618,7.823051048,0.176948952
8.48,1,1,0,1.992395198,0.007604802,7.824753895,0.175246105
8.49,1,1,0,1.992471246,0.007528754,7.826440936,0.173559064
8.5,1,1,0,1.992546534,0.007453466,7.828112307,0.171887693
8.51,1,1,0,1.992621068,0.007378932,7.829768144,0.170231856
8.52,1,1,0,1.992694858,0.007305142,7.83140858,0.16859142
8.53,1,1,0,1.992767909,0.007232091,7.833033749,0.166966251
8.54,1,1,0,1.99284023,0.00715977,7.834643784,0.165356216
8.55,1,1,0,1.992911828,0.007088172,7.836238815,0.163761185
8.56,1,1,0,1.992982709,0.007017291,7.837818974,0.162181026
8.57,1,1,0,1.993052882,0.006947118,7.83938439,0.16061561
8.58,1,1,0,1.993122353,0.006877647,7.84093519,0.15906481
8.59,1,1,0,1.99319113,0.00680887,7.842471504,0.157528496
8.6,1,1,0,1.993259219,0.006740781,7.843993457,0.156006543
8.61,1,1,0,1.993326626,0.006673374,7.845501174,0.154498826
8.62,1,1,0,1.99339336,0.00660664,7.846994781,0.153005219
8.63,1,1,0,1.993459426,0.006540574,7.848474402,0.151525598
8.64,1,1,0,1.993524832,0.006475168,7.849940158,0.150059842
8.65,1,1,0,1.993589584,0.006410416,7.851392173,0.148607827
8.66,1,1,0,1.993653688,0.006346312,7.852830566,0.147169434
8.67,1,1,0,1.993717151,0.006282849,7.854255458,0.145744542
8.68,1,1,0,1.99377998,0.00622002,7.855666969,0.144333031
8.69,1,1,0,1.99384218,0.00615782,7.857065215,0.142934785
8.7,1,1,0,1.993903758,0.006096242,7.858450315,0.141549685
8.71,1,1,0,1.993964721,0.006035279,7.859822385,0.140177615
8.72,1,1,0,1.994025073,0.005974927,7.86118154,0.13881846
8.73,1,1,0,1.994084823,0.005915177,7.862527894,0.137472106
8.74,1,1,0,1.994143974,0.005856026,7.863861563,0.136138437
8.75,1,1,0,1.994202535,0.005797465,7.865182657,0.134817343
8.76,1,1,0,1.994260509,0.005739491,7.86649129,0.13350871
8.77,1,1,0,1.994317904,0.005682096,7.867787572,0.132212428
8.78,1,1,0,1.994374725,0.005625275,7.869071614,0.130928386
8.79,1,1,0,1.994430978,0.005569022,7.870343524,0.129656476
8.8,1,1,0,1.994486668,0.005513332,7.871603411,0.128396589
8.81,1,1,0,1.994541801,0.005458199,7.872851383,0.127148617
8.82,1,1,0,1.994596383,0.005403617,7.874087546,0.125912454
8.83,1,1,0,1.99465042,0.00534958,7.875312007,0.124687993
8.84,1,1,0,1.994703915,0.005296085,7.87652487,0.12347513
8.85,1,1,0,1.994756876,0.005243124,7.877726239,0.122273761
8.86,1,1,0,1.994809307,0.005190693,7.878916218,0.121083782
8.87,1,1,0,1.994861214,0.005138786,7.88009491,0.11990509
8.88,1,1,0,1.994912602,0.005087398,7.881262416,0.118737585
8.89,1,1,0,1.994963476,0.005036524,7.882418836,0.117581164
8.9,1,1,0,1.995013841,0.004986159,7.883564272,0.116435728
8.91,1,1,0,1.995063703,0.004936297,7.884698821,0.115301179
8.92,1,1,0,1.995113066,0.004886934,7.885822584,0.114177416
8.93,1,1,0,1.995161935,0.004838065,7.886935657,0.113064343
8.94,1,1,0,1.995210316,0.004789684,7.888038137,0.111961863
8.95,1,1,0,1.995258213,0.004741787,7.88913012,0.11086988
8.96,1,1,0,1.995305631,0.004694369,7.890211702,0.109788298
8.97,1,1,0,1.995352574,0.004647426,7.891282977,0.108717023
8.98,1,1,0,1.995399049,0.004600951,7.892344038,0.107655962
8.99,1,1,0,1.995445058,0.004554942,7.89339498,0.10660502
9,1,1,0,1.995490608,0.004509392,7.894435893,0.105564107
9.01,1,1,0,1.995535702,0.004464298,7.89546687,0.10453313
9.02,1,1,0,1.995580344,0.004419656,7.896488,0.103512
9.03,1,1,0,1.995624541,0.004375459,7.897499375,0.102500625
9.04,1,1,0,1.995668296,0.004331704,7.898501083,0.101498917
9.05,1,1,0,1.995711613,0.004288387,7.899493212,0.100506788
9.06,1,1,0,1.995754497,0.004245503,7.90047585,0.09952415
9.07,1,1,0,1.995796952,0.004203048,7.901449085,0.098550915
9.08,1,1,0,1.995838982,0.004161018,7.902413002,0.097586998
9.09,1,1,0,1.995880592,0.004119408,7.903367687,0.096632313
9.1,1,1,0,1.995921786,0.004078214,7.904313225,0.095686775
9.11,1,1,0,1.995962568,0.004037432,7.905249699,0.094750301
9.12,1,1,0,1.996002943,0.003997057,7.906177194,0.093822806
9.13,1,1,0,1.996042913,0.003957087,7.907095792,0.092904208
9.14,1,1,0,1.996082484,0.003917516,7.908005574,0.091994426
9.15,1,1,0,1.996121659,0.003878341,7.908906623,0.091093377
9.16,1,1,0,1.996160443,0.003839557,7.909799018,0.090200982
9.17,1,1,0,1.996198838,0.003801162,7.91068284,0.08931716
9.18,1,1,0,1.99623685,0.00376315,7.911558168,0.088441832
9.19,1,1,0,1.996274481,0.003725519,7.91242508,0.08757492
9.2,1,1,0,1.996311737,0.003688263,7.913283654,0.086716346
9.21,1,1,0,1.996348619,0.003651381,7.914133968,0.085866032
9.22,1,1,0,1.996385133,0.003614867,7.914976098,0.085023902
9.23,1,1,0,1.996421282,0.003578718,7.91581012,0.08418988
9.24,1,1,0,1.996457069,0.003542931,7.916636109,0.083363891
9.25,1,1,0,1.996492498,0.003507502,7.91745414,0.08254586
9.26,1,1,0,1.996527573,0.003472427,7.918264287,0.081735713
9.27,1,1,0,1.996562298,0.003437702,7.919066623,0.080933377
9.28,1,1,0,1.996596675,0.003403325,7.91986122,0.08013878
